prompt,model,configuration,generation_runs,runs_with_precision,mean_precision,sample_stddev_precision,runs_with_recall,mean_recall,sample_stddev_recall,runs_with_micro_f1,mean_micro_f1,sample_stddev_micro_f1,runs_with_exact_best_match_rate,mean_exact_best_match_rate,sample_stddev_exact_best_match_rate,total_total_items,total_evaluated_items,total_error_runs,total_skipped_missing_prediction,total_skipped_no_reference
lasha,anthropic/claude-haiku-4.5,argument_order_agnostic,5,5,0.6205357142857143,0.0,5,0.8176470588235294,0.0,5,0.7055837563451777,0.0,5,0.5718232044198895,0.0,1810,1810,0,0,0
lasha,anthropic/claude-haiku-4.5,combined,5,5,0.6383928571428571,0.0,5,0.8313953488372093,0.0,5,0.7222222222222222,0.0,5,0.5911602209944752,0.0,1810,1810,0,0,0
lasha,anthropic/claude-haiku-4.5,lemmas,5,5,0.6383928571428571,0.0,5,0.8313953488372093,0.0,5,0.7222222222222222,0.0,5,0.5911602209944752,0.0,1810,1810,0,0,0
lasha,anthropic/claude-haiku-4.5,original,5,5,0.6205357142857143,0.0,5,0.8176470588235294,0.0,5,0.7055837563451777,0.0,5,0.5718232044198895,0.0,1810,1810,0,0,0
lasha,anthropic/claude-sonnet-4.5,argument_order_agnostic,5,5,0.6970541595989463,0.001493417765843028,5,0.8475720877546601,0.0026277093055121514,5,0.7649789448518385,0.0018849326065732655,5,0.6441988950276243,0.0023112155429118116,1810,1810,0,0,0
lasha,anthropic/claude-sonnet-4.5,combined,5,5,0.7065509084904006,0.0014787690280813294,5,0.8566464606313559,0.002607378797257221,5,0.7743922367765563,0.001864981221475196,5,0.6552486187845304,0.0023112155429117986,1810,1810,0,0,0
lasha,anthropic/claude-sonnet-4.5,lemmas,5,5,0.7003795966804233,0.0018167683874597482,5,0.8516149989172261,0.0026884361961328415,5,0.7686281858244361,0.0020917654475710364,5,0.6508287292817679,0.0015130457389645737,1810,1810,0,0,0
lasha,anthropic/claude-sonnet-4.5,original,5,5,0.690882847788969,0.001818788930102458,5,0.8424997905671442,0.0027031764081352342,5,0.7591950974023243,0.0021019939766163827,5,0.6397790055248619,0.0015130457389645737,1810,1810,0,0,0
lasha,google/gemini-3.1-flash-lite,argument_order_agnostic,5,5,0.7071560297799022,0.005245957927816084,5,0.825827158466876,0.006276795580385808,5,0.7618958023734009,0.005502298090589251,5,0.6535911602209945,0.005018205006791434,1810,1810,0,0,0
lasha,google/gemini-3.1-flash-lite,combined,5,5,0.713575920961724,0.005636058727847791,5,0.827123359429479,0.006206375661641813,5,0.7661615883605817,0.005587474136009671,5,0.6607734806629835,0.004539137216893627,1810,1810,0,0,0
lasha,google/gemini-3.1-flash-lite,lemmas,5,5,0.713575920961724,0.005636058727847791,5,0.827123359429479,0.006206375661641813,5,0.7661615883605817,0.005587474136009671,5,0.6607734806629835,0.004539137216893627,1810,1810,0,0,0
lasha,google/gemini-3.1-flash-lite,original,5,5,0.7071560297799022,0.005245957927816084,5,0.825827158466876,0.006276795580385808,5,0.7618958023734009,0.005502298090589251,5,0.6535911602209945,0.005018205006791434,1810,1810,0,0,0
lasha,google/gemini-3.5-flash,argument_order_agnostic,5,5,0.6649051976874122,0.004850822690742709,5,0.8291062277752383,0.004786978095469212,5,0.7379784379070404,0.004530508907577074,5,0.6116022099447513,0.005018205006791422,1810,1810,0,0,0
lasha,google/gemini-3.5-flash,combined,5,5,0.6759574845849526,0.004870517462457453,5,0.8382668719857133,0.004759110359370723,5,0.74840925722739,0.004519536918573016,5,0.6198895027624309,0.005018205006791434,1810,1810,0,0,0
lasha,google/gemini-3.5-flash,lemmas,5,5,0.6715365698259365,0.004862608082850419,5,0.8350735275517343,0.004772746297741501,5,0.7444254306114654,0.004525020679975195,5,0.6171270718232045,0.005018205006791386,1810,1810,0,0,0
lasha,google/gemini-3.5-flash,original,5,5,0.6604842829283961,0.004843018512032311,5,0.8258699107791492,0.004800806621538527,5,0.733972014177405,0.004536049961563912,5,0.6088397790055249,0.005018205006791434,1810,1810,0,0,0
